asset_group_id,item,useful_year,useful_year_id
2,"木骨モルタル造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの,,,,",7,6
2,"木骨モルタル造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",10,9
2,"木骨モルタル造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",14,13
2,"簡易建物,木製主要柱が十センチメートル角以下のもので、土居ぶき、杉皮ぶき、ルーフイングぶき又はトタンぶきのもの,,,,,",10,9
2,"簡易建物,掘立造のもの及び仮設のもの,,,,,",7,6
3,"電気設備（照明設備を含む。）,蓄電池電源設備,,,,,",6,5
3,"電気設備（照明設備を含む。）,その他のもの,,,,,",15,14
3,"給排水又は衛生設備及びガス設備,,,,,,",15,14
3,"冷房、暖房、通風又はボイラー設備,冷暖房設備（冷凍機の出力が二十二キロワット以下のもの）,,,,,",13,12
3,"冷房、暖房、通風又はボイラー設備,その他のもの,,,,,",15,14
3,"昇降機設備,エレベーター,,,,,",17,16
3,"昇降機設備,エスカレーター,,,,,",15,14
3,"消火、排煙又は災害報知設備及び格納式避難設備,,,,,,",8,7
3,"エヤーカーテン又はドアー自動開閉設備,,,,,,",12,11
3,"アーケード又は日よけ設備,主として金属製のもの,,,,,",15,14
3,"アーケード又は日よけ設備,その他のもの,,,,,",8,7
3,"店用簡易装備,,,,,,",3,2
3,"可動間仕切り,簡易なもの,,,,,",3,2
3,"可動間仕切り,その他のもの,,,,,",15,14
3,"前掲のもの以外のもの及び前掲の区分によらないもの,主として金属製のもの,,,,,",18,17
3,"前掲のもの以外のもの及び前掲の区分によらないもの,その他のもの,,,,,",10,9
4,"鉄道業用又は軌道業用のもの,軌条及びその附属品,,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,まくら木,木製のもの,,,,",8,7
4,"鉄道業用又は軌道業用のもの,まくら木,コンクリート製のもの,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,金属製のもの,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,分岐器,,,,",15,14
4,"鉄道業用又は軌道業用のもの,まくら木,通信線、信号線及び電灯電力線,,,,",30,29
4,"鉄道業用又は軌道業用のもの,まくら木,信号機,,,,",30,29
4,"鉄道業用又は軌道業用のもの,まくら木,送配電線及びき電線,,,,",40,39
4,"鉄道業用又は軌道業用のもの,まくら木,電車線及び第三軌条,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,帰線ボンド,,,,",5,4
4,"鉄道業用又は軌道業用のもの,まくら木,電線支持物（電柱及び腕木を除く。）,,,,",30,29
4,"鉄道業用又は軌道業用のもの,まくら木,木柱及び木塔（腕木を含む。）,,,,",,-1
4,"鉄道業用又は軌道業用のもの,まくら木,木柱及び木塔（腕木を含む。）,架空索道用のもの,,,",15,14
4,"鉄道業用又は軌道業用のもの,まくら木,木柱及び木塔（腕木を含む。）,その他のもの,,,",25,24
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,,,,",,-1
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,軌道設備,,,",,-1
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,軌道設備,道床,,",60,59
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,軌道設備,その他のもの,,",16,15
4,"鉄道業用又は軌道業用のもの,土工設備,,,,,",57,56
4,"鉄道業用又は軌道業用のもの,橋りよう,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,橋りよう,鉄筋コンクリート造のもの,,,,",50,49
4,"鉄道業用又は軌道業用のもの,橋りよう,鉄骨造のもの,,,,",40,39
4,"鉄道業用又は軌道業用のもの,橋りよう,その他のもの,,,,",15,14
4,"鉄道業用又は軌道業用のもの,トンネル,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,トンネル,鉄筋コンクリート造のもの,,,,",60,59
4,"鉄道業用又は軌道業用のもの,トンネル,れんが造のもの,,,,",35,34
4,"鉄道業用又は軌道業用のもの,トンネル,その他のもの,,,,",30,29
4,"鉄道業用又は軌道業用のもの,その他のもの,,,,,",21,20
4,"鉄道業用又は軌道業用のもの,停車場設備,,,,,",32,31
4,"鉄道業用又は軌道業用のもの,電路設備,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,電路設備,鉄柱、鉄塔、コンクリート柱及びコンクリート塔,,,,",45,44
4,"鉄道業用又は軌道業用のもの,電路設備,踏切保安又は自動列車停止設備,,,,",12,11
4,"鉄道業用又は軌道業用のもの,電路設備,その他のもの,,,,",19,18
4,"鉄道業用又は軌道業用のもの,その他のもの,,,,,",40,39
4,"その他の鉄道用又は軌道用のもの,軌条及びその附属品並びにまくら木,,,,,",15,14
4,"その他の鉄道用又は軌道用のもの,道床,,,,,",60,59
4,"その他の鉄道用又は軌道用のもの,土工設備,,,,,",50,49
4,"その他の鉄道用又は軌道用のもの,橋りよう,,,,,",,-1
4,"その他の鉄道用又は軌道用のもの,橋りよう,鉄筋コンクリート造のもの,,,,",50,49
4,"その他の鉄道用又は軌道用のもの,橋りよう,鉄骨造のもの,,,,",40,39
4,"その他の鉄道用又は軌道用のもの,橋りよう,その他のもの,,,,",15,14
4,"その他の鉄道用又は軌道用のもの,トンネル,,,,,",,-1
4,"その他の鉄道用又は軌道用のもの,トンネル,鉄筋コンクリート造のもの,,,,",60,59
4,"その他の鉄道用又は軌道用のもの,トンネル,れんが造のもの,,,,",35,34
4,"その他の鉄道用又は軌道用のもの,トンネル,その他のもの,,,,",30,29
4,"その他の鉄道用又は軌道用のもの,その他のもの,,,,,",30,29
4,"発電用又は送配電用のもの,小水力発電用のもの（農山漁村電気導入促進法（昭和二十七年法律第三百五十八号）に基づき建設したものに限る。）,,,,,",30,29
4,"発電用又は送配電用のもの,その他の水力発電用のもの（貯水池、調整池及び水路に限る。）,,,,,",57,56
4,"発電用又は送配電用のもの,汽力発電用のもの（岩壁、さん橋、堤防、防波堤、煙突、その他汽力発電用のものをいう。）,,,,,",41,40
4,"発電用又は送配電用のもの,送電用のもの,,,,,",,-1
4,"発電用又は送配電用のもの,送電用のもの,地中電線路,,,,",25,24
4,"発電用又は送配電用のもの,送電用のもの,塔、柱、がい子、送電線、地線及び添加電話線,,,,",36,35
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,,,,",,-1
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,鉄塔及び鉄柱,,,",50,49
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,鉄筋コンクリート柱,,,",42,41
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,木柱,,,",15,14
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,配電線,,,",30,29
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,引込線,,,",20,19
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,添架電話線,,,",30,29
4,"発電用又は送配電用のもの,送電用のもの,配電用のもの,地中電線路,,,",25,24
4,"電気通信事業用のもの,送電用のもの,配電用のもの,通信ケーブル,,,",,-1
4,"電気通信事業用のもの,送電用のもの,配電用のもの,通信ケーブル,光ファイバー製のもの,,",10,9
4,"電気通信事業用のもの,送電用のもの,配電用のもの,通信ケーブル,その他のもの,,",13,12
4,"電気通信事業用のもの,地中電線路,,,,,",27,26
4,"電気通信事業用のもの,その他の線路設備,,,,,",21,20
4,"放送用又は無線通信用のもの,鉄塔及び鉄柱,,,,,",,-1
4,"放送用又は無線通信用のもの,鉄塔及び鉄柱,円筒空中線式のもの,,,,",30,29
4,"放送用又は無線通信用のもの,鉄塔及び鉄柱,その他のもの,,,,",40,39
4,"放送用又は無線通信用のもの,鉄筋コンクリート柱,,,,,",42,41
4,"放送用又は無線通信用のもの,木塔及び木柱,,,,,",10,9
4,"放送用又は無線通信用のもの,アンテナ,,,,,",10,9
4,"放送用又は無線通信用のもの,接地線及び放送用配線,,,,,",10,9
4,"農林業用のもの,主としてコンクリート造、れんが造、石造又はブロック造のもの,,,,,",,-1
4,"農林業用のもの,主としてコンクリート造、れんが造、石造又はブロック造のもの,果樹棚又はホップ棚,,,,",14,13
4,"農林業用のもの,主としてコンクリート造、れんが造、石造又はブロック造のもの,その他のもの,,,,",17,16
4,"農林業用のもの,主として金属造のもの,,,,,",14,13
4,"農林業用のもの,主として木造のもの,,,,,",5,4
4,"農林業用のもの,土管を主としたもの,,,,,",10,9
4,"農林業用のもの,その他のもの,,,,,",8,7
4,"広告用のもの,金属造のもの,,,,,",20,19
4,"広告用のもの,その他のもの,,,,,",10,9
4,"競技場用、運動場用、遊園地用又は学校用のもの,スタンド,,,,,",,-1
4,"競技場用、運動場用、遊園地用又は学校用のもの,スタンド,主として鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,,,,",45,44
4,"競技場用、運動場用、遊園地用又は学校用のもの,スタンド,主として鉄骨造のもの,,,,",30,29
4,"競技場用、運動場用、遊園地用又は学校用のもの,スタンド,主として木造のもの,,,,",10,9
4,"競技場用、運動場用、遊園地用又は学校用のもの,スタンド,競輪場用競走路,,,,",,-1
4,"競技場用、運動場用、遊園地用又は学校用のもの,スタンド,競輪場用競走路,コンクリート敷のもの,,,",15,14
4,"競技場用、運動場用、遊園地用又は学校用のもの,スタンド,競輪場用競走路,その他のもの,,,",10,9
4,"競技場用、運動場用、遊園地用又は学校用のもの,ネット設備,,,,,",15,14
4,"競技場用、運動場用、遊園地用又は学校用のもの,野球場、陸上競技場、ゴルフコースその他のスポーツ場の排水その他の土工施設,,,,,",30,29
4,"競技場用、運動場用、遊園地用又は学校用のもの,水泳プール,,,,,",30,29
4,"競技場用、運動場用、遊園地用又は学校用のもの,その他のもの,,,,,",,-1
4,"競技場用、運動場用、遊園地用又は学校用のもの,その他のもの,児童用のもの,,,,",,-1
4,"競技場用、運動場用、遊園地用又は学校用のもの,その他のもの,児童用のもの,すべり台、ぶらんこ、ジヤングルジムその他の遊戯用のもの,,,",10,9
4,"競技場用、運動場用、遊園地用又は学校用のもの,その他のもの,児童用のもの,その他のもの,,,",15,14
4,"競技場用、運動場用、遊園地用又は学校用のもの,その他のもの,その他のもの,,,,",,-1
4,"競技場用、運動場用、遊園地用又は学校用のもの,その他のもの,その他のもの,主として木造のもの,,,",15,14
4,"競技場用、運動場用、遊園地用又は学校用のもの,その他のもの,その他のもの,その他のもの,,,",30,29
4,"緑化施設及び庭園,工場緑化施設,,,,,",7,6
4,"緑化施設及び庭園,その他の緑化施設及び庭園（工場緑化施設に含まれるものを除く。）,,,,,",20,19
4,"舗装道路及び舗装路面,コンクリート敷、ブロック敷、れんが敷又は石敷のもの,,,,,",15,14
4,"舗装道路及び舗装路面,アスファルト敷又は木れんが敷のもの,,,,,",10,9
4,"舗装道路及び舗装路面,ビチューマルス敷のもの,,,,,",3,2
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,水道用ダム,,,,,",80,79
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,トンネル,,,,,",75,74
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,橋,,,,,",60,59
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,岸壁、さん橋、防壁（爆発物用のものを除く。）、堤防、防波堤、塔、やぐら、上水道、水そう及び用水用ダム,,,,,",50,49
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,乾ドツク,,,,,",45,44
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,サイロ,,,,,",35,34
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,下水道、煙突及び焼却炉,,,,,",35,34
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,高架道路、製塩用ちんでん池、飼育場及びへい,,,,,",30,29
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,爆発物用防壁及び防油堤,,,,,",25,24
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,造船台,,,,,",24,23
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,放射性同位元素の放射線を直接受けるもの,,,,,",15,14
4,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの（前掲のものを除く。）,その他のもの,,,,,",60,59
4,"コンクリート造又はコンクリートブロツク造のもの（前掲のものを除く。）,やぐら及び用水池,,,,,",40,39
4,"コンクリート造又はコンクリートブロツク造のもの（前掲のものを除く。）,サイロ,,,,,",34,33
